2222223;Aluno 1;aluno1@mail.com;4
2222224;Aluno 2;aluno2@mail.com;4
2222225;Aluno 3;aluno3@mail.com;4
2222226;Aluno 4;aluno4@mail.com;4
2222227;Aluno 5;aluno5@mail.com;4
2222228;Aluno 6;aluno6@mail.com;4
2222229;Aluno 7;aluno7@mail.com;4
2222210;Aluno 8;aluno8@mail.com;4
2222229;Aluno 9;aluno9@mail.com;4
2222210;Aluno 10;aluno10@mail.com;4
2222223;Aluno 11;aluno11@mail.com;4
2222224;Aluno 12;aluno12@mail.com;4
2222225;Aluno 13;aluno13@mail.com;4
2222226;Aluno 14;aluno14@mail.com;4
2222227;Aluno 15;aluno15@mail.com;4
2222228;Aluno 16;aluno16@mail.com;4
2222229;Aluno 17;aluno17@mail.com;4
2222210;Aluno 18;aluno18@mail.com;4
2222229;Aluno 19;aluno19@mail.com;4
2222210;Aluno 20;aluno20@mail.com;4
2222223;Aluno 21;aluno21@mail.com;4
2222224;Aluno 22;aluno22@mail.com;4
2222225;Aluno 23;aluno23@mail.com;4
2222226;Aluno 24;aluno24@mail.com;4
2222227;Aluno 25;aluno25@mail.com;4
2222228;Aluno 26;aluno26@mail.com;4
2222229;Aluno 27;aluno27@mail.com;4
2222210;Aluno 28;aluno28@mail.com;4
2222229;Aluno 29;aluno29@mail.com;4
2222210;Aluno 30;aluno30@mail.com;4
